guid,polish,english,video,video_media_anchor,video_title,video_url,cloze_listen_hack,priority,tags
pL[Xe(OQ2_,Co to jest? - To jest zegarek.,What is this? - This is a watch.,VOYiVxGRqJU-0073_10-0077_23.webm,[sound:VOYiVxGRqJU-0073_10-0077_23.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},54,
DY!>7<8v4s,"{{c2::Ten}} zegarek jest {{c3::mój}}, a {{c4::tamten}} zegarek jest Patrycji.","This watch is mine, and that watch is Patrycjas.",VOYiVxGRqJU-0077_27-0084_83.webm,[sound:VOYiVxGRqJU-0077_27-0084_83.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},103,
QTlLHg$No0,"Ta, tamta","This, that (female gender)",VOYiVxGRqJU-0084_87-0088_17.webm,[sound:VOYiVxGRqJU-0084_87-0088_17.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},29,
chF_CAi_[H,Co to jest? - To jest bluzka.,What is this? - This is a T-shirt.,VOYiVxGRqJU-0088_20-0092_40.webm,[sound:VOYiVxGRqJU-0088_20-0092_40.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},64,
JJ}wb]0IS+,"{{c2::Ta}} bluzka jest biała, a {{c3::tamta}} bluzka jest niebieska.","This T-shirt is white, and that T-shirt is blue.",VOYiVxGRqJU-0092_43-0099_97.webm,[sound:VOYiVxGRqJU-0092_43-0099_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},101,
M_oo|bmXog,tamto,that (neuter),VOYiVxGRqJU-0102_17-0102_93.webm,[sound:VOYiVxGRqJU-0102_17-0102_93.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},19,
q!R$FVBrf&,Co {{c2::to}} jest?,What is this?,VOYiVxGRqJU-0102_97-0105_27.webm,[sound:VOYiVxGRqJU-0102_97-0105_27.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},25,
htH8tkOmod,{{c2::To}} jest krzesło.,This is a chair.,VOYiVxGRqJU-0105_30-0108_13.webm,[sound:VOYiVxGRqJU-0105_30-0108_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},33,
olKLx=XS2+,"{{c2::To}} krzesło {{c3::stoi}} {{c4::po}} {{c5::mojej}} {{c6::prawej}} stronie, {{c7::a}} {{c8::tamto}} krzesło {{c9::stoi}} {{c10::za}} stołem.","This chair is standing on my right side, and that chair is standing behind the table.",VOYiVxGRqJU-0108_17-0118_03.webm,[sound:VOYiVxGRqJU-0108_17-0118_03.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},158,
OV)ZVpQd]l,"Te, tamte","These, those (non-masculine plural gender)",VOYiVxGRqJU-0118_07-0122_53.webm,[sound:VOYiVxGRqJU-0118_07-0122_53.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},53,
pmb@J%kLOH,{{c2::To}} {{c3::są}} kwiatki.,These are flowers,VOYiVxGRqJU-0124_97-0125_77.webm,[sound:VOYiVxGRqJU-0124_97-0125_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},32,
Ew8xr*uWE|,{{c2::W}} {{c3::jakim}} {{c4::kolorze}} {{c5::są}} {{c6::te}} kwiatki?,What colour are these flowers?,VOYiVxGRqJU-0125_90-0128_47.webm,[sound:VOYiVxGRqJU-0125_90-0128_47.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},55,
u6UNH<67lj,"{{c2::Te}} kwiatki {{c3::są}} {{c4::w}} {{c5::kolorze}} różowym, {{c8::a}} {{c6::tamte}} {{c7::są}} {{c9::w}} {{c10::kolorze}} fioletowym.","These flowers are pink, and those flowers are purple.",VOYiVxGRqJU-0128_80-0135_97.webm,[sound:VOYiVxGRqJU-0128_80-0135_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},119,
nYc^%5c(_L,Kto {{c2::to}} jest?,Who is this?,VOYiVxGRqJU-0138_47-0140_00.webm,[sound:VOYiVxGRqJU-0138_47-0140_00.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},25,
e$>$EvXR7d,{{c2::To}} jest Dawid.,This is Dawid.,VOYiVxGRqJU-0144_93-0148_13.webm,[sound:VOYiVxGRqJU-0144_93-0148_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},29,
h:N4~kKc?D,Gdzie?,Where?,VOYiVxGRqJU-0152_93-0154_77.webm,[sound:VOYiVxGRqJU-0152_93-0154_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},13,
r=q8R]E%S2,Gdzie jest Patrycja?,Where is Patrycja?.,VOYiVxGRqJU-0154_80-0156_97.webm,[sound:VOYiVxGRqJU-0154_80-0156_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},40,
v}4crV(fLn,"Patrycja, a {{c2::gdzie}} {{c3::są}} ćwiczenia {{c4::do}} {{c5::tego}} odcinka?","Patrycja, and where are the exercises for this episode?",VOYiVxGRqJU-0158_80-0161_60.webm,[sound:VOYiVxGRqJU-0158_80-0161_60.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},103,
hTa7z2WAm6,Ćwiczenia można znaleźć na naszym Patreonie.,You can find the exercises on our Patreon.,VOYiVxGRqJU-0161_63-0163_77.webm,[sound:VOYiVxGRqJU-0161_63-0163_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},87,
I[|P`:DRqD,Wszystkie linki znajdziecie w opisie-odcinka pod spodem.,You will find all the links down in'the description of this episode.,VOYiVxGRqJU-0163_80-0167_43.webm,[sound:VOYiVxGRqJU-0163_80-0167_43.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},125,
v;%5s~j~~d,"{{c2::Tam}} {{c3::na}} dole? - Tak, {{c2::tam}} {{c3::na}} dole. - Okay.","Down below? = Yes, down below. - OK.",VOYiVxGRqJU-0167_53-0170_47.webm,[sound:VOYiVxGRqJU-0167_53-0170_47.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},77,
nuO~9J)Uxz,"Patrycja, {{c2::kiedy}} {{c3::jedziesz}} {{c4::na}} {{c5::wakacje}}?","Patrycja, when are you going on holiday?",VOYiVxGRqJU-0180_07-0182_50.webm,[sound:VOYiVxGRqJU-0180_07-0182_50.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},77,
zF9NoVQ5]Q,"{{c2::W}} sierpniu, {{c3::a}} {{c4::ty}}? - {{c5::Ja}} {{c6::jadę}} {{c7::jutro}}. - A no tak.","In August, and you? - I'm going tomorrow. - Ah, true.",VOYiVxGRqJU-0182_53-0187_17.webm,[sound:VOYiVxGRqJU-0182_53-0187_17.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},100,
x$sK}V&9.7,{{c2::Jaka}} {{c3::jest}} {{c4::dzisiaj}} {{c5::pogoda}}?,What is the weather like today?,VOYiVxGRqJU-0200_10-0201_87.webm,[sound:VOYiVxGRqJU-0200_10-0201_87.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},57,
E-$!0H7E~h,{{c2::Jest}} {{c3::słonecznie}} i {{c4::bardzo}} {{c5::gorąco}}.,Its sunny and very hot.,VOYiVxGRqJU-0201_90-0205_77.webm,[sound:VOYiVxGRqJU-0201_90-0205_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},56,
Kx*^60qu3E,A {{c2::jutro}} {{c3::jaka}} {{c4::ma}} {{c5::być}} {{c6::pogoda}}?,And whats the weather supposed to be like tomorrow?,VOYiVxGRqJU-0205_80-0207_80.webm,[sound:VOYiVxGRqJU-0205_80-0207_80.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},79,
O6Tu<%u+?a,{{c2::Jutro}} {{c3::ma}} {{c4::padać}}.,Tomorrow its supposed to rain.,VOYiVxGRqJU-0210_07-0211_40.webm,[sound:VOYiVxGRqJU-0210_07-0211_40.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},46,
NjjU=!j`ms,Czy...?,interrogative particle for forming yes-no questions,VOYiVxGRqJU-0211_43-0213_37.webm,[sound:VOYiVxGRqJU-0211_43-0213_37.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},59,
HIN/i:[tqt,{{c2::Która}} {{c3::godzina}}?,What time is it?,VOYiVxGRqJU-0223_53-0226_60.webm,[sound:VOYiVxGRqJU-0223_53-0226_60.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},33,
c2kA:1O{i,{{c2::Jest}} 10:36. - Dziękuję. - Bardzo proszę.,Its 10:36 a.m. - Thank you. - Youre welcome.,VOYiVxGRqJU-0230_93-0235_93.webm,[sound:VOYiVxGRqJU-0230_93-0235_93.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},85,
nwR6WfI|eC,{{c2::Jaki}} {{c3::dzisiaj}} {{c4::dzień}}?,What day is it today?,VOYiVxGRqJU-0235_97-0241_33.webm,[sound:VOYiVxGRqJU-0235_97-0241_33.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},41,
",]M(t4pfX",{{c2::Dzisiaj}} {{c3::jest}} {{c4::niedziela}}.,Today is Sunday.,VOYiVxGRqJU-0241_37-0243_73.webm,[sound:VOYiVxGRqJU-0241_37-0243_73.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},40,
q1TRKl8lRP,A {{c2::który}} {{c3::dzisiaj}} {{c4::jest}}?,And what's the date today?,VOYiVxGRqJU-0243_77-0246_13.webm,[sound:VOYiVxGRqJU-0243_77-0246_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},47,
w~/AfR4Hd),{{c2::Dzisiaj}} {{c3::jest}} 28 czerwca.,It's 28th June today.,VOYiVxGRqJU-0246_17-0249_50.webm,[sound:VOYiVxGRqJU-0246_17-0249_50.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},46,
n>$d5/j0>%,"Patrycja, {{c2::górąco}} {{c3::jest}}. {{c4::Idziemy}} {{c5::na}} lody?","Patrycja, its hot. Should we get some ice cream?",VOYiVxGRqJU-0251_53-0255_03.webm,[sound:VOYiVxGRqJU-0251_53-0255_03.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},88,
Ed{.a$0A/h,Tak! - Łuhu!,Yes! = Woohoo!,VOYiVxGRqJU-0255_27-0257_90.webm,[sound:VOYiVxGRqJU-0255_27-0257_90.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},27,
BNu6[xsyzM,"Patrycja, pamiętasz {{c2::gdzie}} {{c3::z}} parkowałem samochód?","Patrycja, do you remember where I parked my car?",VOYiVxGRqJU-0262_37-0266_00.webm,[sound:VOYiVxGRqJU-0262_37-0266_00.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},88,
gNApx#=06o,Nie. - Ja {{c2::też}} nie,"No. - Me neither,",VOYiVxGRqJU-0269_30-0270_10.webm,[sound:VOYiVxGRqJU-0269_30-0270_10.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},35,
m2WUEcnIWc,Dziękuję.,Thank you.,VOYiVxGRqJU-0270_60-0272_90.webm,[sound:VOYiVxGRqJU-0270_60-0272_90.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},20,
je_J#4vtk1,Dawid? - {{c7::No}}? - {{c2::Masz}} chusteczkę? - {{c3::Mam}}. - {{c4::A}} {{c5::dasz}}? - {{c6::Jasne}}.,Dawid? - Yeah? - Do you have a tissue? - I do. - And will you give me (one)? - Sure.,VOYiVxGRqJU-0272_93-0280_17.webm,[sound:VOYiVxGRqJU-0272_93-0280_17.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},142,
c&eur_3<%P,Potrzymasz {{c2::mi}} proszę? - {{c3::Jasne}}. {{c4::Nie}} {{c5::ma}} {{c6::problemu}}.,"Will you hold it for me, please? - Sure. No problem.",VOYiVxGRqJU-0288_20-0293_43.webm,[sound:VOYiVxGRqJU-0288_20-0293_43.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},100,
NCU<IjZT0S,Przepraszam.,Tm sorry.,VOYiVxGRqJU-0293_47-0296_27.webm,[sound:VOYiVxGRqJU-0293_47-0296_27.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},22,
BT#jQSlDhL,"O, przepraszam! - {{c4::Nic}} {{c5::się}} {{c3::nie}} {{c2::stało}}.","Oh, Im sorry! - Its OK",VOYiVxGRqJU-0297_53-0299_77.webm,[sound:VOYiVxGRqJU-0297_53-0299_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},59,
Iy)UH[{tCt,Cześć! {{c2::Miło}} {{c3::cię}} {{c4::widzieć}}.,"Hi, it's nice to see you.",VOYiVxGRqJU-0300_80-0306_03.webm,[sound:VOYiVxGRqJU-0300_80-0306_03.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},50,
"N==,D8z~.E",{{c2::Co}} {{c3::u}} {{c4::ciebie}} słychać?,What's new?,VOYiVxGRqJU-0306_93-0310_10.webm,[sound:VOYiVxGRqJU-0306_93-0310_10.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},32,
K+$R/FEX.H,"Patrycja, dawno {{c2::się}} {{c3::nie}} widzieliśmy.","Patrycja, we haven't seen each other for a while.",VOYiVxGRqJU-0310_13-0312_13.webm,[sound:VOYiVxGRqJU-0310_13-0312_13.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},86,
"ubgV_iF,,/","{{c2::Co}} {{c3::tam}} {{c4::u}} {{c5::ciebie}}? - {{c6::W}} porządku, {{c7::a}} {{c8::u}} {{c9::ciebie}}?  {{c10::U}} {{c11::mnie}} {{c12::też}} {{c13::w}} porządku.","Whats new with you? - Everything's fine, and you? - Everything's fine with me, too.",VOYiVxGRqJU-0312_17-0318_30.webm,[sound:VOYiVxGRqJU-0312_17-0318_30.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},147,
yU4mdi-(#n,Jak {{c2::się}} {{c3::czujesz}}?,How do you feel?,VOYiVxGRqJU-0318_33-0322_70.webm,[sound:VOYiVxGRqJU-0318_33-0322_70.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},33,
jt{jxg?U9N,{{c2::Ja}} {{c3::też}} {{c4::się}} {{c5::czuję}} {{c6::świetni}}.,I feel great too.,VOYiVxGRqJU-0326_90-0328_80.webm,[sound:VOYiVxGRqJU-0326_90-0328_80.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},88,
o5u`>^p)z=,{{c2::Co}} {{c3::wczoraj}} {{c4::robiłaś}}? {{c2::Co}} {{c3::wczoraj}} {{c4::robiłeś}}?,What did you do yesterday? (female) What did you do yesterday? (male),VOYiVxGRqJU-0330_00-0335_07.webm,[sound:VOYiVxGRqJU-0330_00-0335_07.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},109,
"M,Zk8wBT1w","Patrycja, {{c2::Co}} {{c3::wczoraj}} {{c4::robiłaś}}?","Patrycja, what did you do yesterday?",VOYiVxGRqJU-0335_10-0337_77.webm,[sound:VOYiVxGRqJU-0335_10-0337_77.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},66,
E-pMY/Hswb,"{{c3::Wczoraj}} {{c5::robiłam}} {{c4::zakupy}} {{c2::do}} mojego nowego mieszkania, a ty?","Yesterday I did shopping for my new flat, and you?",VOYiVxGRqJU-0337_80-0342_60.webm,[sound:VOYiVxGRqJU-0337_80-0342_60.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},108,
A<r2/Tl`PE,{{c2::Ja}} {{c5::wczoraj}} {{c3::byłem}} {{c4::na}} {{c6::imprezie}}.,I was at a party yesterday.,VOYiVxGRqJU-0342_63-0345_87.webm,[sound:VOYiVxGRqJU-0342_63-0345_87.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},57,
A/S>VBo)x~,{{c2::Co}} {{c3::robisz}} {{c4::jutro}}?,What are you doing tomorrow?,VOYiVxGRqJU-0345_90-0348_70.webm,[sound:VOYiVxGRqJU-0345_90-0348_70.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},45,
"i`,+0Suo&m","{{c2::Jutro}} {{c3::jest}} poniedziałek, {{c4::więc}} {{c5::idę}} {{c6::do}} {{c7::pracy}}, a ty?","jomórrow'śs Monday, so I'm going to work, and you?",VOYiVxGRqJU-0351_70-0355_97.webm,[sound:VOYiVxGRqJU-0351_70-0355_97.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},100,
s2rYUr~H^J,{{c2::Ja}} {{c3::jutro}} {{c4::mam}} urlop i {{c5::jadę}} {{c6::nad}} morze. - Super.,I'm on koliday tomorrow and I'm going to the seaside. - Cool.,VOYiVxGRqJU-0356_00-0361_40.webm,[sound:VOYiVxGRqJU-0356_00-0361_40.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},107,
j%@FqZ)_d!,{{c2::No}} {{c3::to}} {{c4::cześć}}. - Cześć.,Bye then. - Bye.,VOYiVxGRqJU-0365_57-0368_93.webm,[sound:VOYiVxGRqJU-0365_57-0368_93.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},38,
xNC06GpP]k,"Kochani, {{c3::to}} {{c2::już}} wszystko {{c4::na}} {{c5::dzisiaj}}.","Dears, that's all for today.",VOYiVxGRqJU-0370_00-0371_43.webm,[sound:VOYiVxGRqJU-0370_00-0371_43.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},65,
s&?50K>gL%,{{c2::Dziękujemy}} {{c3::za}} wspólną podróż {{c4::po}} Parku Śląskim.,Thank you for making the trip around Silesian Park together with us.,VOYiVxGRqJU-0371_47-0373_90.webm,[sound:VOYiVxGRqJU-0371_47-0373_90.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},115,
"kn]`?;cc^,","A jeżeli chcielibyście zobaczyć więcej materiałów dla początkujących;:to dajcie nam znać w komentarzach,",And if you'd like to see more content for beginners then let us know in the comments,VOYiVxGRqJU-0373_93-0379_83.webm,[sound:VOYiVxGRqJU-0373_93-0379_83.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},189,
lY#-0kltF#,{{c2::Do}} zobaczenia {{c3::w}} kolejnym odcinku Easy Polish! - Hej!,See you in the next episode of Easy Polish! - Bye!,VOYiVxGRqJU-0381_07-0385_27.webm,[sound:VOYiVxGRqJU-0381_07-0385_27.webm],Polish for Absolute Beginners | Super Easy Polish 17,https://www.youtube.com/watch?v=VOYiVxGRqJU,{{c1::}},103,
